,,,,,Life expectancy at birth for both sexes combined (years),,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
187,Estimates,Dominican Republic,,214,45.95,49.9,53.58,56.92,59.84,62.01,63.99,66.5,69.01,70.04,71.09,72.19,73.19
188,Estimates,Grenada,,308,56.34,58.91,61.12,63,64.6,65.95,67.11,68.16,69.01,69.83,70.89,72,73.17
189,Estimates,Guadeloupe,25,312,53.34,57.19,60.52,63.64,66.22,68.63,70.8,72.77,74.6,76.3,77.88,79.32,80.54
190,Estimates,Haiti,,332,37.48,40.62,43.53,46.22,48.1,50.07,51.65,53.73,55.43,57.13,58.34,60.23,62.29
191,Estimates,Jamaica,,388,58.6,62.71,65.72,67.61,69,70.74,72.03,72.11,72.02,72.09,72.77,74.2,75.45
192,Estimates,Martinique,,474,55.57,58.88,61.86,64.65,67.26,69.7,71.88,73.86,75.68,77.37,78.94,80.11,81.2
193,Estimates,Puerto Rico,,630,63.53,67.91,69.12,70.74,72.35,73.53,73.92,74.58,73.84,74.89,76.78,77.85,79.22
194,Estimates,Saint Lucia,,662,52.55,55.18,59.42,61.6,64.53,67.44,69.99,70.75,71.32,71.15,72.07,73.99,74.81
195,Estimates,Saint Vincent and the Grenadines,,670,51.08,55.12,60.81,63.97,65.86,66.69,68.43,69.61,70.5,70.62,70.71,71.84,72.74
196,Estimates,Trinidad and Tobago,,780,57.88,60.82,64.08,64.77,65.45,66.67,67.27,67.76,68.22,68.44,68.68,69.28,70.24
197,Estimates,United States Virgin Islands,,850,62.9,65.5,66.83,68.3,69.79,71.15,72.3,73.6,74.82,76.08,77.09,77.82,79.1
